,No,B.Mudurluk,I.Mudurluk,I.Seflik,Il,Ilce,Day,Month,Year,Time,AnaNeden,TaliNeden,YananOrtu,YananTepe,YananAlan,Sicaklik,Dogu,Kuzey,Lon,Lat
34,34,ADANA,ADANA,ADANA,Adana,Merkez,24,9,2017,19:00,Mechul,Mechul,0.01,0,0.01,27,35 07 54,37 04 57,35.13166667,37.0825
35,35,ADANA,ADANA,ADANA,Adana,Merkez,8,10,2017,13:00,Kasit,Kundaklama,0.41,0,0.41,27,35 22 11,37 04 46,35.36972222,37.07944444
36,36,ADANA,ADANA,ADANA,Adana,Merkez,8,10,2017,13:00,Kasit,Kundaklama,0.08,0,0.08,27,37 05 15,37 05 15,37.0875,37.0875
37,37,ADANA,ADANA,CEYHAN,Adana,Ceyhan,8,7,2013,13:30,Kaza,Elektrik,1,0,1,25,35 54 21,36 55 37,35.90583333,36.92694444
38,38,ADANA,ADANA,CEYHAN,Adana,Ceyhan,28,7,2013,14:35,Ihmal Dikkatsizlik,Sigara,0,1,1,30,35 36 27,36 47 18,35.6075,36.78833333
39,39,ADANA,ADANA,CEYHAN,Adana,Ceyhan,6,7,2015,15:30,Ihmal Dikkatsizlik,Aniz,1,0.5,1.5,30,35 57 32,36 55 45,35.95888889,36.92916667
40,40,ADANA,ADANA,CEYHAN,Adana,Ceyhan,4,8,2015,12:00,Ihmal Dikkatsizlik,Aniz,0.1,0,0.1,38,36 53 40,36 50 07,36.89444444,36.83527778
41,41,ADANA,ADANA,CEYHAN,Adana,Ceyhan,28,8,2015,17:10,Ihmal Dikkatsizlik,Aniz,0,0.7,0.7,0,35 32 07,36 47 56,35.53527778,36.79888889
42,42,ADANA,ADANA,CEYHAN,Adana,Ceyhan,1,9,2015,16:00,Ihmal Dikkatsizlik,Aniz,0.5,0,0.5,0,35 38 02,36 50 02,35.63388889,36.83388889
43,43,ADANA,ADANA,CEYHAN,Adana,Ceyhan,19,9,2015,10:30,Ihmal Dikkatsizlik,Aniz,0.3,0,0.3,27,35 44 08,36 59 19,35.73555556,36.98861111
44,44,ADANA,ADANA,CEYHAN,Adana,Ceyhan,16,10,2015,16:40,Ihmal Dikkatsizlik,Sigara,0,0.2,0.2,0,35 40 45,36 49 57,35.67916667,36.8325
45,45,ADANA,ADANA,CEYHAN,Adana,Ceyhan,18,10,2015,13:00,Ihmal Dikkatsizlik,Aniz,0.3,0,0.3,34,35 57 11,36 54 34,35.95305556,36.90944444
46,46,ADANA,ADANA,CEYHAN,Adana,Ceyhan,25,9,2016,18:30,Kasit,Kundaklama,0.7,0,0.7,30,35 43 40,36 58 03,35.72777778,36.9675
47,47,ADANA,ADANA,CEYHAN,Adana,Ceyhan,10,7,2017,14:15,Ihmal Dikkatsizlik,Aniz,0.1,0.1,0.2,0,35 32 29,36 48 07,35.54138889,36.80194444
48,48,ADANA,ADANA,SARICAM,Adana,Merkez,9,6,2013,17:15,Mechul,Mechul,1,0,1,24,35 35 10,37 07 37,35.58611111,37.12694444
49,49,ADANA,ADANA,SARICAM,Adana,Yuregir,2,7,2013,17:00,Ihmal Dikkatsizlik,Copluk,3,0,3,27,35 21 10,37 02 18,35.35277778,37.03833333
50,50,ADANA,ADANA,SARICAM,Adana,Yuregir,10,7,2013,14:30,Kasit,Diger,2,0,2,29,35 21 54,37 08 53,35.365,37.14805556
51,51,ADANA,ADANA,SARICAM,Adana,Yuregir,19,7,2013,15:40,Ihmal Dikkatsizlik,Sigara,0.1,0,0.1,34,35 21 03,37 05 11,35.35083333,37.08638889
52,52,ADANA,ADANA,SARICAM,Adana,Yuregir,29,7,2013,12:00,Ihmal Dikkatsizlik,Aniz,0,20,20,36,35 19 34,37 09 13,35.32611111,37.15361111
53,53,ADANA,ADANA,SARICAM,Adana,Yuregir,4,8,2013,19:05,Mechul,Mechul,0.1,0,0.1,0,35 20 57,37 02 45,35.34916667,37.04583333
54,54,ADANA,ADANA,SARICAM,Adana,Merkez,22,8,2013,16:30,Kasit,Kundaklama,1,0.6,1.6,31,35 32 48,37 09 13,35.54666667,37.15361111
55,55,ADANA,ADANA,SARICAM,Adana,Yuregir,24,9,2013,16:40,Ihmal Dikkatsizlik,Sigara,0.1,0,0.1,23,35 23 07,37 08 07,35.38527778,37.13527778
56,56,ADANA,ADANA,SARICAM,Adana,Yuregir,12,10,2013,13:00,Ihmal Dikkatsizlik,Diger,0,0.4,0.4,28,35 39 02,37 05 22,35.65055556,37.08944444
57,57,ADANA,ADANA,SARICAM,Adana,Yuregir,15,12,2013,15:30,Ihmal Dikkatsizlik,Coban Atesi,0,0.2,0.2,0,95 30 20,37 11 26,95.50555556,37.19055556
58,58,ADANA,ADANA,SARICAM,Adana,Yuregir,29,5,2014,16:10,Kaza,Trafik,1.5,0,1.5,32,35 29 53,37 08 29,35.49805556,37.14138889
59,59,ADANA,ADANA,SARICAM,Adana,Yuregir,25,7,2014,17:45,Mechul,Mechul,0.2,0,0.2,30,35 22 59,37 04 15,35.38305556,37.07083333
60,60,ADANA,ADANA,SARICAM,Adana,Yuregir,12,9,2014,14:25,Ihmal Dikkatsizlik,Sigara,0.01,0,0.01,31,35 21 57,37 04 43,35.36583333,37.07861111
61,61,ADANA,ADANA,SARICAM,Adana,Yuregir,28,3,2015,11:40,Dogal Yildirim,Dogal/Yildirim,0.3,0.2,0.5,14,35 27 18,37 09 13,35.455,37.15361111
62,62,ADANA,ADANA,SARICAM,Adana,Yuregir,20,6,2015,14:10,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,24,35 27 30,37 12 41,35.45833333,37.21138889
63,63,ADANA,ADANA,SARICAM,Adana,Yuregir,25,6,2015,14:45,Mechul,Mechul,0,0.1,0.1,28,35 31 24,37 06 05,35.52333333,37.10138889
64,64,ADANA,ADANA,SARICAM,Adana,Yuregir,28,6,2015,13:30,Ihmal Dikkatsizlik,Aniz,0,0.01,0.01,30,35 21 34,37 05 11,35.35944444,37.08638889
65,65,ADANA,ADANA,SARICAM,Adana,Yuregir,28,6,2015,18:15,Mechul,Mechul,0,0.4,0.4,24,35 32 18,37 04 10,35.53833333,37.06944444
66,66,ADANA,ADANA,SARICAM,Adana,Yuregir,17,7,2015,19:15,Ihmal Dikkatsizlik,Coban Atesi,0.1,0,0.1,28,35 21 16,37 09 40,35.35444444,37.16111111
67,67,ADANA,ADANA,SARICAM,Adana,Yuregir,18,7,2015,22:55,Ihmal Dikkatsizlik,Coban Atesi,0.1,0,0.1,24,35 38 37,37 06 07,35.64361111,37.10194444
68,68,ADANA,ADANA,SARICAM,Adana,Yuregir,27,7,2015,11:55,Ihmal Dikkatsizlik,Sigara,0.2,0,0.2,0,35 28 27,37 08 37,35.47416667,37.14361111
69,69,ADANA,ADANA,SARICAM,Adana,Yuregir,28,7,2015,19:15,Ihmal Dikkatsizlik,Sigara,0.1,0,0.1,29,35 32 18,37 08 48,35.53833333,37.14666667
70,70,ADANA,ADANA,SARICAM,Adana,Merkez,31,7,2015,16:55,Mechul,Mechul,0.02,0,0.02,0,35 26 39,37 05 22,35.44416667,37.08944444
71,71,ADANA,ADANA,SARICAM,Adana,Yuregir,15,8,2015,17:34,Mechul,Mechul,1,1.5,2.5,30,35 27 47,37 07 07,35.46305556,37.11861111
72,72,ADANA,ADANA,SARICAM,Adana,Yuregir,20,8,2015,13:40,Ihmal Dikkatsizlik,Aniz,0,0.6,0.6,33,35 29 30,37 07 30,35.49166667,37.125
73,73,ADANA,ADANA,SARICAM,Adana,Merkez,8,9,2015,16:10,Ihmal Dikkatsizlik,Aniz,0.8,0,0.8,37,35 28 26,37 07 10,35.47388889,37.11944444
74,74,ADANA,ADANA,SARICAM,Adana,Yuregir,30,9,2015,17:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,22,35 31 15,37 11 15,35.52083333,37.1875
75,75,ADANA,ADANA,SARICAM,Adana,Yuregir,9,11,2015,10:40,Ihmal Dikkatsizlik,Coban Atesi,0,0.2,0.2,26,35 31 18,37 06 19,35.52166667,37.10527778
76,76,ADANA,ADANA,SARICAM,Adana,Yuregir,15,11,2015,10:35,Mechul,Mechul,0.2,0.1,0.3,24,35 28 40,31 07 15,35.47777778,31.12083333
77,77,ADANA,ADANA,SARICAM,Adana,Merkez,1,1,2016,20:15,Mechul,Mechul,0.1,0,0.1,8,35 23 29,37 12 05,35.39138889,37.20138889
78,78,ADANA,ADANA,SARICAM,Adana,Yuregir,13,3,2016,17:20,Mechul,Mechul,0.5,0,0.5,21,35 20 38,37 12 14,35.34388889,37.20388889
79,79,ADANA,ADANA,SARICAM,Adana,Yuregir,30,3,2016,14:50,Mechul,Mechul,0,0.1,0.1,21,35 30 43,37 05 52,35.51194444,37.09777778
80,80,ADANA,ADANA,SARICAM,Adana,Merkez,19,6,2016,13:35,Ihmal Dikkatsizlik,Aniz,0.5,0,0.5,35,35 32 18,37 01 21,35.53833333,37.0225
81,81,ADANA,ADANA,SARICAM,Adana,Yuregir,10,7,2016,15:05,Ihmal Dikkatsizlik,Piknik Atesi,0,0.5,0.5,32,35 20 19,37 01 43,35.33861111,37.02861111
82,82,ADANA,ADANA,SARICAM,Adana,Yuregir,22,7,2016,19:40,Ihmal Dikkatsizlik,Aniz,0.04,0,0.04,31,35 39 15,37 04 50,35.65416667,37.08055556
83,83,ADANA,ADANA,SARICAM,Adana,Merkez,28,7,2016,13:05,Ihmal Dikkatsizlik,Sigara,0.5,0,0.5,31,35 00 00,37 12 38,35,37.21055556
84,84,ADANA,ADANA,SARICAM,Adana,Merkez,4,8,2016,20:00,Mechul,Mechul,0.3,0,0.3,27,35 28 27,37 10 07,35.47416667,37.16861111
85,85,ADANA,ADANA,SARICAM,Adana,Yuregir,17,8,2016,19:35,Mechul,Mechul,0.06,0,0.06,0,35 28 30,37 09 59,35.475,37.16638889
86,86,ADANA,ADANA,SARICAM,Adana,Yuregir,29,9,2016,12:35,Mechul,Mechul,0.3,0,0.3,25,35 33 34,37 00 05,35.55944444,37.00138889
87,87,ADANA,ADANA,SARICAM,Adana,Yuregir,2,10,2016,14:45,Mechul,Mechul,0.3,0,0.3,28,35 38 18,37 03 15,35.63833333,37.05416667
88,88,ADANA,ADANA,SARICAM,Adana,Merkez,14,10,2016,19:37,Ihmal Dikkatsizlik,Piknik Atesi,0.02,0,0.02,20,35 29 37,37 05 24,35.49361111,37.09
89,89,ADANA,ADANA,SARICAM,Adana,Merkez,15,10,2016,13:40,Mechul,Mechul,0.08,0,0.08,26,35 22 13,37 07 48,35.37027778,37.13
90,90,ADANA,ADANA,SARICAM,Adana,Yuregir,17,10,2016,04:00,Mechul,Mechul,1,1.89,2.89,20,35 27 39,37 11 16,35.46083333,37.18777778
91,91,ADANA,ADANA,SARICAM,Adana,Merkez,22,11,2016,16:00,Mechul,Mechul,0.1,0,0.1,20,35 34 24,37 10 18,35.57333333,37.17166667
92,92,ADANA,ADANA,SARICAM,Adana,Yuregir,12,12,2016,01:00,Mechul,Mechul,0.2,0,0.2,13,35 22 38,37 10 26,35.37722222,37.17388889
93,93,ADANA,ADANA,SARICAM,Adana,Yuregir,29,1,2017,12:00,Mechul,Mechul,0.1,0,0.1,10,35 32 18,37 08 48,35.53833333,37.14666667
94,94,ADANA,ADANA,SARICAM,Adana,Yuregir,26,6,2017,18:00,Ihmal Dikkatsizlik,Piknik Atesi,0.01,0,0.01,32,35 23 29,37 09 48,35.39138889,37.16333333
95,95,ADANA,ADANA,SARICAM,Adana,Yuregir,26,7,2017,11:45,Mechul,Mechul,0.9,0,0.9,31,35 31 34,37 00 21,35.52611111,37.00583333
96,96,ADANA,ADANA,SARICAM,Adana,Yuregir,20,8,2017,16:40,Mechul,Mechul,0.11,0,0.11,31,35 19 13,37 09 21,35.32027778,37.15583333
97,97,ADANA,ADANA,SARICAM,Adana,Yuregir,21,8,2017,06:00,Mechul,Mechul,0.31,0,0.31,24,35 27 49,37 12 10,35.46361111,37.20277778
98,98,ADANA,ADANA,SARICAM,Adana,Yuregir,28,8,2017,11:40,Ihmal Dikkatsizlik,Aniz,0.1,0,0.1,0,35 19 17,37 09 29,35.32138889,37.15805556
99,99,ADANA,ADANA,SARICAM,Adana,Yuregir,3,9,2017,07:35,Kasit,Kundaklama,0.1,0,0.1,33,35 27 48,37 12 07,35.46333333,37.20194444
100,100,ADANA,ADANA,SARICAM,Adana,Yuregir,3,9,2017,15:00,Kasit,Diger,0.02,0,0.02,30,35 27 33,37 12 56,35.45916667,37.21555556
101,101,ADANA,ADANA,SARICAM,Adana,Yuregir,5,9,2017,14:45,Ihmal Dikkatsizlik,Aniz,0.18,0,0.18,31,35 29 22,37 05 45,35.48944444,37.09583333
102,102,ADANA,ADANA,SARICAM,Adana,Merkez,28,9,2017,17:00,Ihmal Dikkatsizlik,Aniz,0.14,0,0.14,28,35 29 32,37 03 15,35.49222222,37.05416667
103,103,ADANA,ADANA,SARICAM,Adana,Merkez,5,10,2017,13:30,Mechul,Mechul,1.03,0,1.03,27,35 34 47,37 09 02,35.57972222,37.15055556
104,104,ADANA,ADANA,SARICAM,Adana,Merkez,14,10,2017,13:20,Mechul,Mechul,0.15,0,0.15,25,35 25 18,37 05 49,35.42166667,37.09694444
105,105,ADANA,FEKE,BAHCECIK,Adana,Feke,11,6,2013,11:45,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,29,35 44 15,37 59 05,35.7375,37.98472222
106,106,ADANA,FEKE,BAHCECIK,Adana,Feke,10,10,2013,11:00,Ihmal Dikkatsizlik,Aniz,0.2,0,0.2,15,35 43 44,37 53 15,35.72888889,37.8875
107,107,ADANA,FEKE,BAHCECIK,Adana,Feke,12,10,2013,12:35,Dogal Yildirim,Dogal/Yildirim,0,1.5,1.5,25,35 45 21,37 57 20,35.75583333,37.95555556
108,108,ADANA,FEKE,BAHCECIK,Adana,Feke,16,1,2014,14:05,Kaza,Diger,0.1,0,0.1,12,35 46 26,37 55 18,35.77388889,37.92166667
109,109,ADANA,FEKE,BAHCECIK,Adana,Feke,20,7,2015,15:10,Mechul,Mechul,1.3,0.2,1.5,29,35 44 21,37 59 05,35.73916667,37.98472222
110,110,ADANA,FEKE,BAHCECIK,Adana,Feke,5,4,2016,11:55,Mechul,Mechul,0.05,0,0.05,16,35 44 35,37 53 05,35.74305556,37.88472222
111,111,ADANA,FEKE,BAHCECIK,Adana,Feke,17,11,2017,11:25,Mechul,Mechul,0.01,0,0.01,20,35 45 02,35 55 07,35.75055556,35.91861111
112,112,ADANA,FEKE,CATALOLUK,Adana,Feke,31,5,2014,14:00,Kaza,Elektrik,0,0.1,0.1,25,35 54 10,37 42 32,35.90277778,37.70888889
113,113,ADANA,FEKE,CATALOLUK,Adana,Feke,22,8,2014,06:45,Mechul,Mechul,1.5,0,1.5,33,35 47 10,37 53 02,35.78611111,37.88388889
114,114,ADANA,FEKE,CATALOLUK,Adana,Feke,22,8,2014,13:00,Mechul,Mechul,0,8.5,8.5,33,35 51 53,37 44 56,35.86472222,37.74888889
115,115,ADANA,FEKE,CATALOLUK,Adana,Feke,19,6,2015,16:30,Dogal Yildirim,Dogal/Yildirim,0.05,0,0.05,24,35 52 07,37 46 29,35.86861111,37.77472222
116,116,ADANA,FEKE,CATALOLUK,Adana,Feke,19,7,2015,09:40,Mechul,Mechul,0.2,0,0.2,33,35 46 43,37 42 36,35.77861111,37.71
117,117,ADANA,FEKE,CATALOLUK,Adana,Feke,21,7,2015,10:00,Ihmal Dikkatsizlik,Sigara,0,0.04,0.04,29,35 47 48,37 47 56,35.79666667,37.79888889
118,118,ADANA,FEKE,CATALOLUK,Adana,Feke,26,7,2015,10:55,Ihmal Dikkatsizlik,Sigara,0.04,0,0.04,36,35 48 15,37 47 56,35.80416667,37.79888889
119,119,ADANA,FEKE,CATALOLUK,Adana,Feke,31,7,2015,12:25,Ihmal Dikkatsizlik,Sigara,0.07,0,0.07,36,35 47 45,37 47 56,35.79583333,37.79888889
120,120,ADANA,FEKE,CATALOLUK,Adana,Feke,25,8,2015,10:30,Ihmal Dikkatsizlik,Sigara,0.04,0.01,0.05,31,35 48 16,37 47 26,35.80444444,37.79055556
121,121,ADANA,FEKE,CATALOLUK,Adana,Feke,12,10,2015,12:05,Kasit,Kundaklama,0.2,0.5,0.7,24,35 48 07,37 48 34,35.80194444,37.80944444
122,122,ADANA,FEKE,CATALOLUK,Adana,Feke,12,11,2015,10:40,Ihmal Dikkatsizlik,Copluk,0.01,0,0.01,0,35 53 21,37 44 19,35.88916667,37.73861111
123,123,ADANA,FEKE,CATALOLUK,Adana,Feke,16,7,2016,14:58,Mechul,Mechul,0.01,0,0.01,35,35 42 59,37 45 59,35.71638889,37.76638889
124,124,ADANA,FEKE,CATALOLUK,Adana,Feke,28,9,2016,16:10,Kaza,Elektrik,0,1.1,1.1,0,35 45 51,37 46 05,35.76416667,37.76805556
125,125,ADANA,FEKE,CATALOLUK,Adana,Feke,25,4,2017,09:10,Mechul,Mechul,0.02,0,0.02,0,35 46 43,37 48 07,35.77861111,37.80194444
126,126,ADANA,FEKE,CATALOLUK,Adana,Feke,1,10,2017,13:00,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,25,35 48 34,37 48 34,35.80944444,37.80944444
127,127,ADANA,FEKE,FEKE,Adana,Feke,5,8,2013,10:30,Ihmal Dikkatsizlik,Aniz,0.2,0,0.2,27,35 50 38,37 40 26,35.84388889,37.67388889
128,128,ADANA,FEKE,FEKE,Adana,Feke,26,6,2014,19:30,Kasit,Diger,0,0.1,0.1,34,34 31 07,37 16 56,34.51861111,37.28222222
129,129,ADANA,FEKE,FEKE,Adana,Feke,10,9,2014,16:30,Mechul,Mechul,0.1,0,0.1,0,36 00 00,37 00 00,36,37
130,130,ADANA,FEKE,FEKE,Adana,Feke,22,9,2014,14:05,Ihmal Dikkatsizlik,Copluk,0.03,0,0.03,28,35 54 29,37 48 34,35.90805556,37.80944444
131,131,ADANA,FEKE,FEKE,Adana,Feke,30,7,2015,20:55,Kaza,Diger,0.1,0,0.1,28,35 55 45,37 50 57,35.92916667,37.84916667
132,132,ADANA,FEKE,FEKE,Adana,Feke,3,10,2015,14:35,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,28,35 55 18,37 47 48,35.92166667,37.79666667
133,133,ADANA,FEKE,FEKE,Adana,Saimbeyli,18,11,2015,23:50,Mechul,Mechul,0.05,0,0.05,0,35 59 11,37 41 52,35.98638889,37.69777778
134,134,ADANA,FEKE,FEKE,Adana,Feke,26,7,2016,17:45,Mechul,Mechul,0.02,0,0.02,29,35 55 56,37 50 38,35.93222222,37.84388889
135,135,ADANA,FEKE,FEKE,Adana,Feke,3,9,2016,13:10,Mechul,Mechul,0.01,0,0.01,30,35 59 13,37 42 00,35.98694444,37.7
136,136,ADANA,FEKE,FEKE,Adana,Feke,16,9,2016,16:28,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,0,35 56 15,37 51 43,35.9375,37.86194444
137,137,ADANA,FEKE,FEKE,Adana,Feke,25,9,2016,03:00,Mechul,Mechul,0.01,0,0.01,0,36 01 29,37 42 35,36.02472222,37.70972222
138,138,ADANA,FEKE,FEKE,Adana,Feke,15,10,2016,04:00,Mechul,Mechul,0.01,0,0.01,18,35 59 59,37 43 59,35.99972222,37.73305556
139,139,ADANA,FEKE,FEKE,Adana,Feke,18,2,2017,16:30,Mechul,Mechul,0.1,0,0.1,0,35 54 56,37 48 15,35.91555556,37.80416667
140,140,ADANA,FEKE,GEDIKLI,Adana,Feke,6,3,2013,14:20,Mechul,-,0.1,0,0.1,10,35 51 46,37 51 46,35.86277778,37.86277778
141,141,ADANA,FEKE,GEDIKLI,Adana,Feke,22,9,2013,14:20,Dogal Yildirim,Dogal/Yildirim,0.5,0,0.5,25,35 52 51,37 51 18,35.88083333,37.855
142,142,ADANA,FEKE,GEDIKLI,Adana,Feke,5,5,2014,15:30,Mechul,Mechul,0.5,1,1.5,0,35 54 07,38 02 10,35.90194444,38.03611111
143,143,ADANA,FEKE,GEDIKLI,Adana,Feke,29,9,2014,16:30,Dogal Yildirim,Dogal/Yildirim,0,0,0,22,35 51 45,37 55 07,35.8625,37.91861111
144,144,ADANA,FEKE,GEDIKLI,Adana,Feke,4,9,2015,12:35,Dogal Yildirim,Dogal/Yildirim,0.05,0,0.05,30,35 55 56,37 56 22,35.93222222,37.93944444
145,145,ADANA,FEKE,GEDIKLI,Adana,Feke,19,10,2016,10:00,Mechul,Mechul,0.02,0,0.02,19,35 49 18,37 50 28,35.82166667,37.84111111
146,146,ADANA,FEKE,GEDIKLI,Adana,Feke,27,6,2017,17:00,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,31,35 50 34,37 52 59,35.84277778,37.88305556
147,147,ADANA,FEKE,GEDIKLI,Adana,Feke,25,7,2017,11:46,Ihmal Dikkatsizlik,Aniz,0.1,0,0.1,28,35 55 15,38 04 29,35.92083333,38.07472222
148,148,ADANA,FEKE,MANSURLU,Adana,Feke,2,7,2013,19:30,Ihmal Dikkatsizlik,Aniz,0.1,0,0.1,26,35 45 00,37 34 45,35.75,37.57916667
149,149,ADANA,FEKE,MANSURLU,Adana,Feke,27,7,2013,12:30,Ihmal Dikkatsizlik,Copluk,0.1,0,0.1,29,35 40 56,37 52 48,35.68222222,37.88
150,150,ADANA,FEKE,MANSURLU,Adana,Feke,10,8,2013,18:10,Mechul,Mechul,0.1,0,0.1,0,35 49 02,37 36 27,35.81722222,37.6075
151,151,ADANA,FEKE,MANSURLU,Adana,Feke,26,8,2013,16:20,Dogal Yildirim,Dogal/Yildirim,0.5,0,0.5,31,35 39 21,37 54 29,35.65583333,37.90805556
